,time,range,density,dif density,dif values,velocity,dif vel,pressure,dif pressure,viscosity,viscosity ABE,subs visco,entropy,mass
0,2023-07-20,25,1.0,,,,,,,,,,4.5593614413633565,0.14167886214899827
1,2023-08-25,50,0.9523809523809523,-0.04761904761904767,-0.03467193346211783,-0.033020889011540794,,-0.0010384562962976148,,,,,4.09851492746739,0.12735838974210148
2,2023-09-29,75,1.0,0.04761904761904767,0.020887434050304576,0.020887434050304576,0.05390832306184537,-0.000436284901205823,0.0006021713950917918,,,,4.035725150215644,0.1254072427865409
3,2023-11-03,100,0.9047619047619048,-0.09523809523809523,-0.08927572382372495,-0.08077327393575115,-0.10166070798605573,-0.005902957803033239,-0.005466672901827416,-0.0030012881879931856,0.0002948864411624942,0.0032961746291556796,3.80530189326766,0.11824700658309249
4,2023-12-08,125,1.0,0.09523809523809523,0.10485397626007686,0.10485397626007686,0.18562725019582801,-0.010994356337548764,-0.005091398534515524,0.0001227216524542822,-0.0006489762867514403,-0.0007716979392057225,3.3654823419680655,0.10457993184457902
5,2024-01-18,150,0.8571428571428571,-0.1428571428571429,-0.08167918448603495,-0.07001072955945853,-0.1748647058195354,-0.004201287645812263,0.006793068691736501,-0.003908395990710683,-0.008397147600889353,-0.00448875161017867,4.559361441363357,0.1416788621489983
6,2024-02-22,175,0.9047619047619048,0.04761904761904767,0.06259313611702344,0.0566318850582593,0.12664261461771784,-0.0029017256047517126,0.0012995620410605501,-0.0009902284374681445,-0.001575550712324423,-0.0005853222748562785,3.80530189326766,0.11824700658309249
7,2024-03-28,200,0.8571428571428571,-0.04761904761904767,0.00529383761326041,0.004537575097080352,-0.05209430996117895,-1.764821808140894e-05,0.0028840773866703035,,0.003487625979499624,,3.9519084103675253,0.12280269816259701
